id,role,last affiliation country,first publication year,tools,disciplines
020db7b746c8493a94266c753f042c8a,PhD student,United States,2011-2016,MS Word,Ingénierie & technologie | Sciences sociales et économie
020f976d42d17af8857a5a0b00047381,PhD student,Germany,I haven't published (yet),MS Word | LaTeX,Sciences de la vie
0214b8af4de387457c339990b6621a1e,PhD student,Ukraine,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
021e5da9444c967324da787873e35ae6,Librarian,Netherlands,1991-2000,MS Word | Google Drive/Docs | Authorea,Sciences de la vie
021e96352f591dd96ef7b52c3a509197,PhD student,United Kingdom,1991-2000,MS Word | Google Drive/Docs | Authorea,Sciences sociales et économie
021f8c571617f0fbb02b66481029b446,Librarian,South Africa,I haven't published (yet),MS Word,Médecine
02239a62eed964f3cc1ef061c807878d,PhD student,United States,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
02248be1e6ac3323d045f93db1ea1c4c,Bachelor/Master student,Netherlands,I haven't published (yet),MS Word,Arts et Lettres
022b87807a56d2a9736144097227e9b4,Other,United Kingdom,2001-2005,MS Word | Google Drive/Docs,Arts et Lettres
022d536f2079351e5de582ba8f21544e,Postdoc,United States,2001-2005,MS Word | Google Drive/Docs,Sciences de la vie
022e8fa022407aee39be2bd189ec4f60,Librarian,Spain,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie | Droit | Arts et Lettres
022f5e857a4757aba8cfbf352e3c6f8b,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,MS Word,Sciences sociales et économie | Arts et Lettres
02301e0ee1b49960d9a6175c3d70486d,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word | Google Drive/Docs,Sciences physiques | Sciences de la vie | Médecine
02353ba3d4f9d124903147f05f4aee44,Other,France,2011-2016,MS Word,Sciences de la vie
02353c89ce454ab64dd23949cf56d1e7,Other,France,2011-2016,MS Word,Sciences de la vie
0237eba00947de52b3b8630a66505fc2,Postdoc,Russia,,MS Word | Google Drive/Docs,Sciences physiques | Sciences sociales et économie
023b7c2798823e985a218bb707874729,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences sociales et économie
023cadd5409bab6433fd68ad8c66c155,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word | Google Drive/Docs,Arts et Lettres
0240752d540dc03b6e4627c80da90fcd,Other,United States,1991-2000,MS Word | Google Drive/Docs,Sciences sociales et économie | Arts et Lettres
02411add1e06223dd066aafa9ddc68ea,Professor / Associate professor / Assistant professor,Turkey,2011-2016,MS Word,Ingénierie & technologie
